index,2024,2025,2026,2027,2028,2029,2030
Bank Accounts,0,11279.136862500003,20388.988942874996,15432.452465906248,12900.024656378999,13416.025642634158,13952.666668339523
Transfer - Bank,0,-7500,0,0,0,0,0
Fidelity Stock,226778,250152.46,267663.1322,281046.28881,292288.1403624,303979.66597689595,316138.8526159718
SP - Properties,0,0,0,0,0,0,0
PL Investments,0,0,0,0,0,0,0
Rental - Spain,0,0,0,0,0,0,0
Financial Income - Dividend,0,25038.849150000002,27185.318590499995,20576.603287874997,17200.032875171997,17888.034190178878,18603.555557786032
Financial Income - UB Dividend,0,0,0,0,0,0,0
Financial Income - BC Holding,0,0,0,0,0,0,0
Dividends,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0
Bank Fees,0,0,0,0,0,0,0
Property - Other,0,0,0,0,0,0,0
Taxes US,0,-6259.7122875000005,-6796.329647624999,-5144.150821968749,-4300.008218792999,-4472.0085475447195,-4650.888889446508
